transformId;rotation;scale;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Sheep;(0.0, -0.7, 0.0, 0.7);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);aa8001e2-8383-42da-8b49-b1504a9563ae;1;4;4;08.31.2021 19:03:39.443
Sheep;(0.0, -0.5, 0.0, 0.8);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);68a691cb-55a2-4d68-8061-2c5e37833394;1;4;4;08.31.2021 19:03:39.485
Sheep;(0.0, -0.4, 0.0, 0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);f03997b9-6b24-4b70-a48c-c339c7892db4;1;4;4;08.31.2021 19:03:39.520
Sheep;(0.0, -0.2, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);d18a6073-9b05-49f7-9f57-ac00a9a20b86;1;4;4;08.31.2021 19:03:39.563
Sheep;(0.0, -0.1, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);ac04be0a-5dcb-4918-922b-ee8dc6ea5349;1;4;4;08.31.2021 19:03:39.596
Sheep;(0.0, 0.0, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);e71e2c91-636a-4a7e-9183-90f279731a1b;1;4;4;08.31.2021 19:03:39.629
Sheep;(0.0, 0.0, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);975b94d2-632c-428c-bd2f-27df32ea4e19;1;4;4;08.31.2021 19:03:39.663
Sheep;(0.0, -0.1, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);873e21d4-a3bd-422b-b77b-44dae39f3402;1;4;4;08.31.2021 19:03:39.697
Sheep;(0.0, -0.2, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);73108fdc-d14c-4ff4-9a17-d13b98459afe;1;4;4;08.31.2021 19:03:39.730
Sheep;(0.0, -0.4, 0.0, -0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);1d24bcae-4275-4d5a-a942-810fcd51a033;1;4;4;08.31.2021 19:03:39.763
Sheep;(0.0, -0.5, 0.0, -0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);90160e97-5e60-4d0f-ba73-3f7e600ba409;1;4;4;08.31.2021 19:03:39.797
Sheep;(0.0, -0.7, 0.0, -0.7);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);4659b68b-ff63-415e-b27f-475efbf17e89;1;4;4;08.31.2021 19:03:39.832
